n_estimators,learning_rate,num_leaves,f1_macro
200,0.01,15,0.7397455019722425
200,0.01,31,0.8113128146379754
200,0.01,63,0.8448145499095325
200,0.05,15,0.9761230988774422
200,0.05,31,0.9804602298487215
200,0.05,63,0.9796710694729759
200,0.1,15,0.987041316231491
200,0.1,31,0.987807479839309
200,0.1,63,0.9878385006643418
500,0.01,15,0.918644252123127
500,0.01,31,0.952140937435833
500,0.01,63,0.9610495131778908
500,0.05,15,0.9885211190247928
500,0.05,31,0.9892874932136099
500,0.05,63,0.9870829157400633
500,0.1,15,0.9907774501181554
500,0.1,31,0.9893189602533828
500,0.1,63,0.9855896859304979
800,0.01,15,0.9577323865003811
800,0.01,31,0.9761622095062951
800,0.01,63,0.976850795853637
800,0.05,15,0.9892874932136099
800,0.05,31,0.9892874932136099
800,0.05,63,0.986378647544089
800,0.1,15,0.989211230696894
800,0.1,31,0.9870416656060769
800,0.1,63,0.9855896859304979
