UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Type_enc,Air temperature [K]_rolling_mean,Process temperature [K]_rolling_mean,Rotational speed [rpm]_rolling_mean,Torque [Nm]_rolling_mean,Tool wear [min]_rolling_mean,Air temperature [K]_rolling_std,Process temperature [K]_rolling_std,Rotational speed [rpm]_rolling_std,Torque [Nm]_rolling_std,Tool wear [min]_rolling_std,Air temperature [K]_rolling_var,Process temperature [K]_rolling_var,Rotational speed [rpm]_rolling_var,Torque [Nm]_rolling_var,Tool wear [min]_rolling_var
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,1,298.15999999999997,308.62,1459.6,43.6,4.8,0.05477225575051307,0.0836660026534045,62.970628073729735,4.223150482755735,3.492849839314596,0.0029999999999996115,0.006999999999999488,3965.2999999999993,17.835,12.2
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,2,298.15999999999997,308.62,1434.4,43.419999999999995,7.0,0.05477225575051307,0.0836660026534045,37.17929531338641,4.284506972803289,3.1622776601683795,0.0029999999999996115,0.006999999999999488,1382.299999999997,18.357000000000003,10.0
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,1,298.14,308.6,1464.4,42.64,9.2,0.05477225575050139,0.07071067811863264,62.46839200747842,3.9727824002832084,3.492849839314596,0.0029999999999983326,0.004999999999996873,3902.299999999994,15.783000000000012,12.200000000000001
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,1,298.14,308.62,1470.2,40.8,11.4,0.05477225575050139,0.04472135955000755,67.51073988633212,1.2708265027138925,3.646916505762094,0.0029999999999983326,0.0020000000000010513,4557.699999999993,1.6150000000000229,13.3
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,2,298.15999999999997,308.64,1517.0,38.62,13.6,0.08944271909998187,0.05477225575056409,105.62433431742892,5.697543330243311,3.646916505762094,0.007999999999998262,0.0030000000000052008,11156.499999999993,32.462000000000046,13.3
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,2,298.22,308.7,1583.6,36.22,16.0,0.1788854381999675,0.1732050807569382,123.23067799862174,7.278873539222953,3.8078865529319543,0.031999999999994394,0.03000000000001748,15185.799999999997,52.98200000000008,14.5
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,0,298.28000000000003,308.76,1655.0,32.62,18.6,0.1788854381999675,0.18165902124592503,111.20026978384541,8.16468003047273,3.974921382870358,0.031999999999994394,0.033000000000027445,12365.500000000002,66.66200000000018,15.799999999999997
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,0,298.38,308.86,1628.0,33.0,21.6,0.19235384061674488,0.20736441353340643,150.1932089010685,8.756426211645945,5.128352561983233,0.037000000000012086,0.04300000000005359,22558.0,76.67500000000015,26.29999999999999
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,2,298.48,308.96,1590.4,35.17999999999999,25.2,0.13038404810417126,0.16733200530707992,197.78978740066435,11.818502443203203,6.379655163094632,0.017000000000030845,0.028000000000088624,39120.8,139.67700000000008,40.69999999999999
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,2,298.54,309.06,1605.4,35.46,29.0,0.08944271910019834,0.11401754251042022,207.64946424202495,11.638857332229831,6.670832032063166,0.008000000000036984,0.013000000000115483,43118.3,135.46300000000008,44.499999999999986
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,1,298.56000000000006,309.1,1664.2,33.78,32.8,0.08944271910021263,0.12247448713966831,283.4408227478886,13.450167285205048,6.379655163094632,0.008000000000039541,0.015000000000124778,80338.70000000001,180.90700000000012,40.69999999999999
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,1,298.6,309.16,1616.2,38.67999999999999,36.4,2.0942957853799167e-07,0.054772255751766724,278.78791222002434,13.413687039736686,5.128352561983234,4.386074836660082e-14,0.003000000000136943,77722.70000000001,179.92699999999994,26.299999999999997
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,2,298.6,309.17999999999995,1593.8,39.14,39.4,2.0942957853799167e-07,0.04472135955158295,301.7460853101495,13.691165034430048,3.9749213828703582,4.386074836660082e-14,0.0020000000001419594,91050.70000000001,187.44799999999992,15.800000000000002
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,2,298.62,309.2,1608.0,38.040000000000006,42.0,0.044721359550515406,3.849095471775277e-07,288.12063445716626,12.67312116252346,3.8078865529319548,0.0020000000000464755,1.4815535950840942e-13,83013.50000000001,160.60799999999998,14.500000000000005
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,0,298.66,309.2,1520.8,42.94,44.6,0.08944271910028015,3.849095471775277e-07,303.0193063156208,13.496962621271491,3.9749213828703582,0.008000000000051619,1.4815535950840942e-13,91820.70000000001,182.1679999999998,15.800000000000002
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,2,298.72,309.21999999999997,1440.2,45.519999999999996,47.6,0.13038404810426416,0.04472135955173866,143.84436033435583,8.056488068631378,5.128352561983234,0.017000000000055072,0.002000000000155886,20691.199999999997,64.90699999999975,26.299999999999997
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,0,298.78000000000003,309.24,1406.8,44.379999999999995,50.8,0.13038404810428542,0.05477225575201515,133.2992873199253,7.949654080524497,5.718391382198319,0.017000000000060612,0.003000000000164157,17768.7,63.19699999999978,32.7
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,1,298.82000000000005,309.26000000000005,1434.6,44.019999999999996,54.6,0.08366600265380587,0.05477225575209558,122.37156532462924,7.864286363046541,6.348228099241552,0.007000000000066651,0.0030000000001729676,14974.800000000003,61.84699999999979,40.300000000000004
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,2,298.86,309.28000000000003,1468.8,41.04,58.2,0.05477225575117979,0.04472135955203418,136.81995468498008,9.719979423846528,6.058052492344383,0.0030000000000726477,0.0020000000001823186,18719.700000000004,94.47799999999988,36.699999999999996
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,1,298.9,309.32,1559.2,35.28,61.8,0.07071067811923416,0.044721359552259796,150.95595384084726,8.157327993896045,5.263078946776306,0.0050000000000819415,0.002000000000202498,22787.700000000004,66.54200000000009,27.699999999999996
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,2,298.91999999999996,309.34000000000003,1545.0,36.239999999999995,64.8,0.08366600265391287,0.05477225575246984,145.64168359367454,8.029819425117855,4.658325879540847,0.007000000000084557,0.003000000000213966,21211.500000000007,64.47800000000004,21.700000000000006
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,1,298.93999999999994,309.38,1642.2,32.36,67.8,0.08944271910047556,0.0836660026548347,164.74434739923552,8.779977220927181,3.962322551231792,0.008000000000086575,0.0070000000002388065,27140.700000000004,77.08800000000018,15.700000000000017
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,1,299.0,309.41999999999996,1654.6,31.2,70.2,0.07071067811935174,0.08366600265498586,148.15971112282853,6.909413868049897,3.962322551231792,0.005000000000098569,0.007000000000264101,21951.299999999996,47.74000000000024,15.700000000000017
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,0,299.04,309.43999999999994,1700.6,29.98,72.6,0.05477225575146325,0.05477225575306269,155.13639160429122,7.530405035587413,3.6469165057620967,0.0030000000001036992,0.003000000000278909,24067.3,56.70700000000027,13.30000000000002
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,1,299.06000000000006,309.44,1636.8,33.68,75.4,0.0547722557514866,0.05477225575306269,187.78764602603653,9.250243240045105,4.505552130427526,0.003000000000106257,0.003000000000278909,35264.2,85.56700000000015,20.30000000000002
